Team,Points,Wins,Draws,Losses,GF,GA,GD
United,21,6,3,1,19,11,8
Arsenal,17,4,5,1,20,15,5
Liverpool,14,4,2,4,15,15,0
Chelsea,13,3,4,3,17,11,6
City,10,3,1,6,12,21,-9
Spurs,6,1,3,6,8,13,-5
Team,Points,Wins,Draws,Losses,GF,GA,GD
Arsenal,24,7,3,0,19,14,5
Chelsea,19,6,1,3,13,11,2
United,15,4,3,3,13,9,4
Liverpool,11,3,2,5,12,14,-2
Spurs,7,1,4,5,9,10,-1
City,6,1,3,6,11,10,1
Team,Points,Wins,Draws,Losses,GF,GA,GD
United,20,6,2,2,13,12,1
Chelsea,19,5,4,1,10,8,2
Arsenal,15,4,3,3,16,15,1
Spurs,10,2,4,4,10,13,-3
City,9,2,3,5,5,7,-2
Liverpool,8,2,2,6,9,9,0
Team,Points,Wins,Draws,Losses,GF,GA,GD
Chelsea,27,9,0,1,19,10,9
United,16,4,4,2,9,5,4
Liverpool,14,4,2,4,6,6,0
Arsenal,12,3,3,4,8,8,0
Spurs,10,2,4,4,9,11,-2
City,4,1,1,8,6,10,-4
Team,Points,Wins,Draws,Losses,GF,GA,GD
United,20,6,2,2,14,10,4
Arsenal,18,5,3,2,17,8,9
Liverpool,16,5,1,4,11,3,8
Chelsea,16,4,4,2,10,5,5
Spurs,10,3,1,6,8,11,-3
City,4,1,1,8,5,7,-2
Team,Points,Wins,Draws,Losses,GF,GA,GD
Chelsea,18,5,3,2,19,9,10
Arsenal,18,5,3,2,16,13,3
United,17,5,2,3,14,8,6
Liverpool,12,2,6,2,8,8,0
City,10,3,1,6,7,9,-2
Spurs,6,1,3,6,12,15,-3
Team,Points,Wins,Draws,Losses,GF,GA,GD
Liverpool,21,6,3,1,22,17,5
Spurs,16,4,4,2,15,12,3
United,15,4,3,3,15,10,5
Arsenal,14,3,5,2,16,16,0
Chelsea,11,3,2,5,11,12,-1
City,4,1,1,8,9,11,-2
Team,Points,Wins,Draws,Losses,GF,GA,GD
United,21,7,0,3,19,15,4
Chelsea,21,7,0,3,19,13,6
Spurs,15,5,0,5,12,8,4
City,12,3,3,4,15,14,1
Arsenal,10,3,1,6,11,12,-1
Liverpool,8,2,2,6,9,8,1
Team,Points,Wins,Draws,Losses,GF,GA,GD
United,17,5,2,3,12,6,6
Liverpool,14,4,2,4,14,9,5
Spurs,13,3,4,3,12,11,1
Chelsea,13,4,1,5,11,6,5
Arsenal,13,3,4,3,14,12,2
City,12,3,3,4,6,4,2
Team,Points,Wins,Draws,Losses,GF,GA,GD
City,22,7,1,2,23,16,7
United,20,6,2,2,26,19,7
Arsenal,13,4,1,5,17,16,1
Liverpool,12,3,3,4,12,10,2
Spurs,9,2,3,5,13,14,-1
Chelsea,7,1,4,5,13,15,-2
Team,Points,Wins,Draws,Losses,GF,GA,GD
United,17,5,2,3,17,18,-1
City,16,4,4,2,16,14,2
Chelsea,16,4,4,2,16,16,0
Spurs,14,4,2,4,20,18,2
Arsenal,9,2,3,5,15,15,0
Liverpool,8,1,5,4,15,17,-2
Team,Points,Wins,Draws,Losses,GF,GA,GD
Chelsea,24,7,3,0,21,7,14
City,19,6,1,3,30,18,12
Liverpool,18,6,0,4,23,15,8
Arsenal,12,3,3,4,9,6,3
United,6,1,3,6,6,12,-6
Spurs,5,1,2,7,6,16,-10
Team,Points,Wins,Draws,Losses,GF,GA,GD
United,18,5,3,2,16,8,8
Chelsea,17,4,5,1,15,9,6
City,15,4,3,3,16,12,4
Liverpool,11,3,2,5,15,15,0
Arsenal,11,2,5,3,14,12,2
Spurs,8,2,2,6,11,12,-1
Team,Points,Wins,Draws,Losses,GF,GA,GD
United,18,5,3,2,10,6,4
Spurs,15,3,6,1,15,9,6
Liverpool,14,3,5,2,16,14,2
Chelsea,11,2,5,3,8,11,-3
Arsenal,11,2,5,3,15,12,3
City,8,2,2,6,12,14,-2
Team,Points,Wins,Draws,Losses,GF,GA,GD
Liverpool,20,5,5,0,16,11,5
Chelsea,16,5,1,4,16,9,7
Spurs,15,4,3,3,13,6,7
United,10,2,4,4,7,5,2
City,10,2,4,4,11,12,-1
Arsenal,9,2,3,5,15,11,4
Team,Points,Wins,Draws,Losses,GF,GA,GD
City,24,8,0,2,27,17,10
United,19,6,1,3,14,11,3
Spurs,13,4,1,5,15,12,3
Chelsea,12,3,3,4,9,10,-1
Liverpool,10,2,4,4,16,11,5
Arsenal,6,1,3,6,10,13,-3
Team,Points,Wins,Draws,Losses,GF,GA,GD
City,25,8,1,1,20,8,12
Liverpool,19,5,4,1,17,8,9
Chelsea,12,3,3,4,12,7,5
Arsenal,12,3,3,4,16,12,4
United,7,1,4,5,8,13,-5
Spurs,7,2,1,7,11,12,-1
Team,Points,Wins,Draws,Losses,GF,GA,GD
Liverpool,22,7,1,2,20,11,9
United,18,5,3,2,15,8,7
City,13,4,1,5,17,10,7
Chelsea,13,4,1,5,15,16,-1
Spurs,9,2,3,5,12,12,0
Arsenal,9,2,3,5,12,13,-1
Team,Points,Wins,Draws,Losses,GF,GA,GD
Liverpool,20,6,2,2,19,20,-1
City,17,5,2,3,14,13,1
Arsenal,13,4,1,5,8,9,-1
Chelsea,12,3,3,4,6,11,-5
United,11,2,5,3,8,16,-8
Spurs,10,3,1,6,14,15,-1
Team,Points,Wins,Draws,Losses,GF,GA,GD
City,20,6,2,2,21,13,8
Liverpool,18,4,6,0,25,17,8
Chelsea,13,3,4,3,14,15,-1
United,11,3,2,5,13,18,-5
Spurs,11,3,2,5,13,15,-2
Arsenal,9,3,0,7,13,14,-1
Team,Points,Wins,Draws,Losses,GF,GA,GD
Arsenal,15,5,0,2,14,12,2
United,13,4,1,2,15,9,6
City,12,4,0,3,15,10,5
Liverpool,7,2,1,2,6,5,1
Spurs,4,1,1,5,7,9,-2
Chelsea,3,0,3,2,3,5,-2
